position,company_name,location,rating,salary,description,company_overview,ratings_overview,pros_and_cons
Data Scientist (m/w/d),"Endress+Hauser Conducta GmbH+Co.KG
4.1",Waldheim,4.1,NI,"Aufgabe + Herausforderungen
Festlegung von Datenanalysezielen, gemeinsam mit anderen Fachabteilungen
Sammeln und Auswahl von strukturierten und unstrukturierten Daten aus internen sowie externen Quellen
Datenorganisation und Datenmodellierung mit Methoden der Statistik und der Künstlichen Intelligenz
Datenanalyse, Interpretation von Datenmustern - Erkennen von Zusammenhängen und Trends
Erstellung von Reports und Darstellung der Analyseergebnisse
Weiterentwicklung des Fachgebiets","Size
10000+ Employees
Founded
1953
Type
Company - Private
Industry
Machinery Manufacturing
Sector
Manufacturing
Revenue
$1 to $5 billion (USD)","Career Opportunities
★★★★★
3.6
Comp & Benefits
★★★★★
3.7
Culture & Values
★★★★★
4.3
Senior Management
★★★★★
3.8
Work/Life Balance
★★★★★
3.9","Pros
""Flexible Arbeitszeit ohne Kernzeit"" (in 1 reviews)
Cons
No Cons have been reported by the Glassdoor community."
(Senior) Data Scientist Analytics (m/w/d),"REWE Group
3.6",Köln,3.6,NI,"Ort: 50933 Köln, 51063 Köln | Vertragsart: Vollzeit, unbefristet | Job-ID: 240366
Was wir zusammen vorhaben:
Als Geschäftsbereich Analytics der REWE Group sind wir Teil des Vorstandsressorts Customer, Analytics & Technology, mit dem wir alle strategischen, analytischen und geschäftsunterstützenden Funktionen innerhalb von Handel Deutschland unter einem Dach zusammenführen. Der Geschäftsbereich befindet sich in einer spannenden Transformation und verfolgt das Ziel, Advanced Analytics sowie Artificial Intelligence als ergänzenden Werttreiber in allen wesentlichen Geschäftsentscheidungen zu etablieren. Agile Arbeitsweisen mit cross-funktional agierenden Teams bieten die perfekte Arbeitsumgebung, um die Entwicklung analytischer Produkte und Use Cases voranzutreiben. Sei dabei, wenn AA & AI im deutschen Lebensmitteleinzelhandel auf ein neues Niveau gehoben werden!","Size
10000+ Employees
Founded
1927
Type
Company - Private
Industry
Grocery Stores
Sector
Retail & Wholesale
Revenue
$10+ billion (USD)","Career Opportunities
★★★★★
3.4
Comp & Benefits
★★★★★
3.3
Culture & Values
★★★★★
3.4
Senior Management
★★★★★
3.3
Work/Life Balance
★★★★★
3.4","Pros
""Super Management! Super Jobs und super Kollegen!"" (in 1 reviews)
Cons
""pay is a little bit low compared to other companies"" (in 1 reviews)"
Data Scientist (m/w/d) mit Schwerpunkt Drohnenentwicklung,EMPIT GmbH,Berlin,NI,NI,"Du suchst eine neue Herausforderung?
Dann werde Teil einer technologiegetriebenen Unternehmensfamilie, welche die Vermessung und Zustandsbeurteilung von Pipelines durch intelligente Robotik neu erfindet.
Deine Hauptaufgabe ist u.a. die Automatisierung der Drohnen Flugsteuerung. Damit bist Du proaktiv dafür verantwortlich, dass durch deine Arbeit global weniger Lecks in Rohrleitungen entstehen und Du so nachhaltig die Umwelt schützt.
Zur Verstärkung unseres Teams am Entwickler-Standort Berlin, suchen wir zum nächstmöglichen Zeitpunkt einen Data Scientist (m/w/d) mit dem Schwerpunkt Drohnenentwicklung.
Das sind deine Aufgaben:","Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable",NI,NI
Data Scientist (m/w/d),"STARK Deutschland GmbH
3.0",,3.0,NI,"Data Scientist (m/w/d)
Die STARK Deutschland GmbH ist Mitglied im Netzwerk der STARK GROUP A/S, Frederiksberg, Dänemark. Mit rund 6000 Mitarbeitenden in 260 Niederlassungen sind wir Marktführer im Bereich Baustoffhandel in Deutschland und vereinigen eigenständige Vertriebsmarken unter unserem Dach. Unseren Kunden bieten wir umfassende Sortimentsvielfalt, überzeugende Beratungskompetenz und starke Serviceleistungen.
Ihre Aufgaben
Als Teil eines internen Consulting Teams unterstützen Sie Fachabteilungen in agilen, interdisziplinären Projekten, um große Datenmengen in geschäftsrelevante Erkenntnisse umzuwandeln und operative Fragstellungen zu beantworten.","Size
Unknown
Type
Company - Public
Revenue
Unknown / Non-Applicable","Career Opportunities
★★★★★
2.6
Comp & Benefits
★★★★★
2.3
Culture & Values
★★★★★
2.6
Senior Management
★★★★★
2.0
Work/Life Balance
★★★★★
2.6","Pros
No Pros have been reported by the Glassdoor community.
Cons
""Innovative Projekte, für die die Mitarbeiter angestellt wurden, wurden plötzlich vom oberen Management her aufgekündigt, weil sie intern nicht durchgesetzt werden konnten (aufgrund der unklaren Machtverhältnisse zwischen Regionen und Zentrale)."" (in 1 reviews)"
Data Scientist (m/w/d),"Aldi Nord
3.2",Essen,3.2,NI,"Das sind deine Aufgaben
Ausbau und Weiterentwicklung der Analyseinstrumente und -methoden mit Ausrichtung auf die Anforderungen der Fachbereiche und Business Partner
Analyse und Verknüpfung verschiedener Datenquellen und Bearbeitung großer Datenmengen
Verwendung geeigneter Algorithmen zur Lösung von konkreten Fragestellungen in Proof-of-Concepts und Validierung mit Fachexperten
Entwicklung und Optimierung von Data Analytics und ML Modellen in Piloten bis zur Produktion
Dokumentation und Pflege von Experimenten, Modellen, KPIs in modernen Frameworks
Unterstützung der internen Kollegen bei der Industrialisierung von Modellen sowie bei der Interpretation und Visualisierung von Ergebnissen","Size
Unknown
Type
Company - Public
Revenue
Unknown / Non-Applicable","Career Opportunities
★★★★★
3.1
Comp & Benefits
★★★★★
3.8
Culture & Values
★★★★★
2.8
Senior Management
★★★★★
2.6
Work/Life Balance
★★★★★
2.6","Pros
""Top Team, positive Unternehmenskultur, Chancen durch Organisationsaufbau und Mitgestaltung"" (in 1 reviews)
""Kollegenzusammenhalt, Work/Life Balance, direkte Führung, Budget"" (in 1 reviews)
Cons
No Cons have been reported by the Glassdoor community."
